rho_bar,Hraw,replicate,mean_logloss,post_drift_logloss,mean_live_keys,H,label
0.98,32.0,0,1.6203286493978355,1.6314320449907913,20.0299609375,32,32
0.98,32.0,1,1.610995010359988,1.6277513965263433,20.1333203125,32,32
0.98,32.0,2,1.6089666197601578,1.6262328173733835,20.143359375,32,32
0.98,32.0,3,1.5981162834193934,1.6186634307634558,20.0553515625,32,32
0.98,32.0,4,1.6002375390653172,1.6286967263806358,20.076953125,32,32
0.98,32.0,5,1.6086147279914182,1.6334432091432742,20.12328125,32,32
0.98,64.0,0,1.601299677669439,1.6189931387647378,28.0735546875,64,64
0.98,64.0,1,1.589841597924872,1.6143423171607312,28.2355859375,64,64
0.98,64.0,2,1.586711863734159,1.6119328511952256,28.2423046875,64,64
0.98,64.0,3,1.57123241908029,1.5999211866646879,28.0661328125,64,64
0.98,64.0,4,1.5766449569000156,1.6164522079945796,28.1519921875,64,64
0.98,64.0,5,1.587617992416879,1.6200157714986199,28.170390625,64,64
0.98,128.0,0,1.5939785719118638,1.6132043237024791,35.6659375,128,128
0.98,128.0,1,1.5822345150905706,1.6089170093693024,35.9915625,128,128
0.98,128.0,2,1.57839584310435,1.6056867383776723,35.9480078125,128,128
0.98,128.0,3,1.5628865643032241,1.5940472031235386,35.5913671875,128,128
0.98,128.0,4,1.56801688259979,1.6107816453397092,35.8038671875,128,128
0.98,128.0,5,1.5791948604307167,1.6140922672541616,35.712578125,128,128
0.98,,0,1.5936488135764155,1.6129434582752387,96.0,999999,infinity
0.98,,1,1.5818555905481386,1.6087677656005497,96.0,999999,infinity
0.98,,2,1.5780704278168507,1.6054998756286865,96.0,999999,infinity
0.98,,3,1.5624915003770679,1.5937544542587785,96.0,999999,infinity
0.98,,4,1.5676014936799398,1.6104515883125945,96.0,999999,infinity
0.98,,5,1.5789201607168606,1.6138815714630952,96.0,999999,infinity
0.99,16.0,0,1.6298468142126237,1.6374981603578909,12.5456640625,16,16
0.99,16.0,1,1.6232120396964178,1.6339457715345351,12.571171875,16,16
0.99,16.0,2,1.6234957060565112,1.6348686188971095,12.607421875,16,16
0.99,16.0,3,1.6176160962268287,1.629869548413122,12.5287109375,16,16
0.99,16.0,4,1.6153752871144051,1.6331820928505063,12.5476171875,16,16
0.99,16.0,5,1.6199048652366648,1.636432561262273,12.5948046875,16,16
0.99,32.0,0,1.6290042204889228,1.6416714207379417,20.0299609375,32,32
0.99,32.0,1,1.6181651177656422,1.6370533661879219,20.1333203125,32,32
0.99,32.0,2,1.6156031677101121,1.6353368590149349,20.143359375,32,32
0.99,32.0,3,1.603707658112143,1.627106896731839,20.0553515625,32,32
0.99,32.0,4,1.6067463090371281,1.6384076264403005,20.076953125,32,32
0.99,32.0,5,1.616421901640564,1.6440988524846427,20.12328125,32,32
0.99,64.0,0,1.5999642681084356,1.6228945080692534,28.0735546875,64,64
0.99,64.0,1,1.5858927852648403,1.6170637833144241,28.2355859375,64,64
0.99,64.0,2,1.5815018800409462,1.6123084257510594,28.2423046875,64,64
0.99,64.0,3,1.5633111333611167,1.5997770179056057,28.0661328125,64,64
0.99,64.0,4,1.5716672768296445,1.6200739888480051,28.1519921875,64,64
0.99,64.0,5,1.5854595275259118,1.6243258338093025,28.170390625,64,64
0.99,128.0,0,1.5775401235606896,1.6041683457075093,35.6659375,128,128
0.99,128.0,1,1.5620022222285561,1.5976980562329626,35.9915625,128,128
0.99,128.0,2,1.5563680792224115,1.5920417541024514,35.9480078125,128,128
0.99,128.0,3,1.537732236607333,1.5795051523651418,35.5913671875,128,128
0.99,128.0,4,1.5455729835480432,1.6003956477404764,35.8038671875,128,128
0.99,128.0,5,1.5607085687198472,1.6058666653291842,35.712578125,128,128
0.99,,0,1.575271707781941,1.6022284160266262,96.0,999999,infinity
0.99,,1,1.5594925341679104,1.5963078755031832,96.0,999999,infinity
0.99,,2,1.5541208766831347,1.5904743762322642,96.0,999999,infinity
0.99,,3,1.5351733179737126,1.5774470366962605,96.0,999999,infinity
0.99,,4,1.5428522234270725,1.5983466215586077,96.0,999999,infinity
0.99,,5,1.5587568903842657,1.6043192152404417,96.0,999999,infinity
0.995,16.0,0,1.6321518993843152,1.6401134170268081,12.5456640625,16,16
0.995,16.0,1,1.6252700554034176,1.6364377339838379,12.571171875,16,16
0.995,16.0,2,1.6254997102563729,1.6373081196348929,12.607421875,16,16
0.995,16.0,3,1.6194900975124862,1.6321552753459685,12.5287109375,16,16
0.995,16.0,4,1.617170140269383,1.6354486274340676,12.5476171875,16,16
0.995,16.0,5,1.6219455997565546,1.6389175371016333,12.5948046875,16,16
0.995,32.0,0,1.6356102293238652,1.649212164642958,20.0299609375,32,32
0.995,32.0,1,1.6238705264968452,1.6439293707434117,20.1333203125,32,32
0.995,32.0,2,1.6210446989159508,1.6421996210931276,20.143359375,32,32
0.995,32.0,3,1.6085427640998806,1.6334999494680351,20.0553515625,32,32
0.995,32.0,4,1.61213123576381,1.645538323539804,20.076953125,32,32
0.995,32.0,5,1.6224707209373852,1.6517113873391536,20.12328125,32,32
0.995,64.0,0,1.6019762713751533,1.627592068486559,28.0735546875,64,64
0.995,64.0,1,1.5863794863312801,1.6210663703904895,28.2355859375,64,64
0.995,64.0,2,1.581189228086841,1.6146224240814173,28.2423046875,64,64
0.995,64.0,3,1.5623684212920834,1.603037897976361,28.0661328125,64,64
0.995,64.0,4,1.5718552130310905,1.624692590937807,28.1519921875,64,64
0.995,64.0,5,1.587330896955256,1.6291663550430735,28.170390625,64,64
0.995,128.0,0,1.5567147246230175,1.5867066917962485,35.6659375,128,128
0.995,128.0,1,1.5393114137255741,1.5790856687838175,35.9915625,128,128
0.995,128.0,2,1.5319738859757341,1.571477518029073,35.9480078125,128,128
0.995,128.0,3,1.512165832730484,1.5587622645045034,35.5913671875,128,128
0.995,128.0,4,1.5210468434044635,1.5810888564614836,35.8038671875,128,128
0.995,128.0,5,1.5386530998625014,1.5891811158534155,35.712578125,128,128
0.995,,0,1.5496267154982009,1.5804556748436713,96.0,999999,infinity
0.995,,1,1.5316799269760468,1.5739995614071145,96.0,999999,infinity
0.995,,2,1.5248919856040553,1.5659764457122962,96.0,999999,infinity
0.995,,3,1.504506291168867,1.5523543635776191,96.0,999999,infinity
0.995,,4,1.5129751701072458,1.5749187288611408,96.0,999999,infinity
0.995,,5,1.5322471691541741,1.5837723677656108,96.0,999999,infinity
0.999,16.0,0,1.6341561358531111,1.642378239075163,12.5456640625,16,16
0.999,16.0,1,1.6270715172970551,1.6386023944998755,12.571171875,16,16
0.999,16.0,2,1.627252887992521,1.6394188929146207,12.607421875,16,16
0.999,16.0,3,1.6211352281868001,1.6341406601196526,12.5287109375,16,16
0.999,16.0,4,1.6187498883399116,1.6374124756486688,12.5476171875,16,16
0.999,16.0,5,1.6237339918046672,1.6410713229697198,12.5948046875,16,16
0.999,32.0,0,1.642421117530916,1.656864742738865,20.0299609375,32,32
0.999,32.0,1,1.6298880843324421,1.6509710659051662,20.1333203125,32,32
0.999,32.0,2,1.6268695640798492,1.6492844469776162,20.143359375,32,32
0.999,32.0,3,1.6137929891437701,1.6400648715218642,20.0553515625,32,32
0.999,32.0,4,1.6178887877370811,1.6527806077367697,20.076953125,32,32
0.999,32.0,5,1.628760917752472,1.6593679392497211,20.12328125,32,32
0.999,64.0,0,1.6102404924843532,1.6376658964682034,28.0735546875,64,64
0.999,64.0,1,1.5938986761821774,1.6311178563919717,28.2355859375,64,64
0.999,64.0,2,1.5879224436014616,1.6232503719010996,28.2423046875,64,64
0.999,64.0,3,1.5690955137599967,1.6131548675073122,28.0661328125,64,64
0.999,64.0,4,1.5791974512123996,1.635767320982038,28.1519921875,64,64
0.999,64.0,5,1.5958102032778863,1.6395528380505324,28.170390625,64,64
0.999,128.0,0,1.525000719858048,1.5562327389602109,35.6659375,128,128
0.999,128.0,1,1.5097604761212569,1.5491059930426851,35.9915625,128,128
0.999,128.0,2,1.4994466996260618,1.538807434585039,35.9480078125,128,128
0.999,128.0,3,1.4788029268572287,1.5250853895638852,35.5913671875,128,128
0.999,128.0,4,1.4892194288149974,1.5497450642197217,35.8038671875,128,128
0.999,128.0,5,1.5055218556556949,1.5567802734177418,35.712578125,128,128
0.999,,0,1.4991978061724849,1.5331857858963747,96.0,999999,infinity
0.999,,1,1.48165753281711,1.528389369584105,96.0,999999,infinity
0.999,,2,1.4725018732171142,1.5175910209683516,96.0,999999,infinity
0.999,,3,1.4529992107474239,1.5043473330341879,96.0,999999,infinity
0.999,,4,1.460838354661083,1.5271002734499048,96.0,999999,infinity
0.999,,5,1.4808357480335133,1.5357850956771737,96.0,999999,infinity
