N,w,concurrent_events,label,union_bound
17526.592085367585,36,8,baseline local write set (w=36),1.0
18936.988889503602,36,8,baseline local write set (w=36),1.0
20460.88289466011,36,8,baseline local write set (w=36),1.0
22107.407427431233,36,8,baseline local write set (w=36),1.0
23886.430789846003,36,8,baseline local write set (w=36),1.0
25808.615404180768,36,8,baseline local write set (w=36),1.0
27885.481717262915,36,8,baseline local write set (w=36),1.0
30129.47724726992,36,8,baseline local write set (w=36),1.0
32554.05118685032,36,8,baseline local write set (w=36),1.0
35173.7350096938,36,8,baseline local write set (w=36),1.0
38004.22956365882,36,8,baseline local write set (w=36),0.9548410904953604
41062.49917244294,36,8,baseline local write set (w=36),0.8837260452075184
44366.87330978607,36,8,baseline local write set (w=36),0.8179075353501618
47937.15645558219,36,8,baseline local write set (w=36),0.7569910833911037
51794.74679231213,36,8,baseline local write set (w=36),0.7006115918571536
55962.76445319552,36,8,baseline local write set (w=36),0.6484311551540575
60466.19009070435,36,8,baseline local write set (w=36),0.6001370343586219
65332.014595937704,36,8,baseline local write set (w=36),0.5554397828450917
70589.40086618738,36,8,baseline local write set (w=36),0.5140715115118948
76269.85859023451,36,8,baseline local write set (w=36),0.4757842832115368
82407.43309893666,36,8,baseline local write set (w=36),0.44034862676080905
89038.90941296735,36,8,baseline local write set (w=36),0.40755216162514146
96204.0327106476,36,8,baseline local write set (w=36),0.37719832503428663
103945.74653722627,36,8,baseline local write set (w=36),0.349105193900398
112310.45018329515,36,8,baseline local write set (w=36),0.32310439447777595
121348.27677491431,36,8,baseline local write set (w=36),0.2990400932294213
131113.3937421563,36,8,baseline local write set (w=36),0.276768062852243
141664.32746690192,36,8,baseline local write set (w=36),0.2561548178632213
153064.31405563562,36,8,baseline local write set (w=36),0.23707681456573923
165381.6783395673,36,8,baseline local write set (w=36),0.21941971060114798
178690.24337358287,36,8,baseline local write set (w=36),0.20307767964775592
193069.77288832495,36,8,baseline local write set (w=36),0.18795277715994224
208606.44934719568,36,8,baseline local write set (w=36),0.17395435334601664
225393.39047347935,36,8,baseline local write set (w=36),0.16099850986655168
243531.20734334175,36,8,baseline local write set (w=36),0.14900759699696092
263128.6073895944,36,8,baseline local write set (w=36),0.13790974824060515
284303.0459302665,36,8,baseline local write set (w=36),0.12763844960317688
307181.43012686964,36,8,baseline local write set (w=36),0.11813214094684245
331900.87959146773,36,8,baseline local write set (w=36),0.10933384703489309
358609.54820118286,36,8,baseline local write set (w=36),0.10119083605560368
387467.5120456128,36,8,baseline local write set (w=36),0.09365430357869117
418647.7288289947,36,8,baseline local write set (w=36),0.08667908005019319
452337.07447720965,36,8,baseline local write set (w=36),0.08022336007266262
488737.4631624417,36,8,baseline local write set (w=36),0.07424845184814277
528067.0574582637,36,8,baseline local write set (w=36),0.06871854528223068
570561.5758781021,36,8,baseline local write set (w=36),0.06360049735938189
616475.7056337161,36,8,baseline local write set (w=36),0.05886363350311943
666084.6290809154,36,8,baseline local write set (w=36),0.05447956373061983
719685.6730011528,36,8,baseline local write set (w=36),0.05042201249981236
777600.0906038043,36,8,baseline local write set (w=36),0.04666666122919619
840174.9869294344,36,8,baseline local write set (w=36),0.04319100254652999
907785.3991937558,36,8,baseline local write set (w=36),0.03997420539284832
980836.5445406671,36,8,baseline local write set (w=36),0.036996990173315716
1059766.2486760707,36,8,baseline local write set (w=36),0.0342415132066466
1145047.569938281,36,8,baseline local write set (w=36),0.03169125978054864
1237191.6345321594,36,8,baseline local write set (w=36),0.029330945172226456
1336750.6999197064,36,8,baseline local write set (w=36),0.02714642304072082
1444321.464727279,36,8,baseline local write set (w=36),0.02512460064204059
1560548.6450070718,36,8,baseline local write set (w=36),0.02325336035893681
1686128.8382868804,36,8,baseline local write set (w=36),0.021521487075014317
1821814.6985669748,36,8,baseline local write set (w=36),0.019918600957904146
1968419.4472866112,36,8,baseline local write set (w=36),0.018435095248637977
2126821.747296208,36,8,baseline local write set (w=36),0.01706207868437132
2297970.9690469652,36,8,baseline local write set (w=36),0.015791322209370504
2482892.88056033,36,8,baseline local write set (w=36),0.014615209654880744
2682695.7952797273,36,8,baseline local write set (w=36),0.013526692092278848
2898577.214651068,36,8,baseline local write set (w=36),0.012519245585930807
3131831.005243845,36,8,baseline local write set (w=36),0.0115868320925492
3383855.153428233,36,8,baseline local write set (w=36),0.01072386327270424
3656160.1440851935,36,8,baseline local write set (w=36),0.009925166997595946
3950378.0135666407,36,8,baseline local write set (w=36),0.009185956350348608
4268272.131163817,36,8,baseline local write set (w=36),0.008501800936039534
4611747.767708251,36,8,baseline local write set (w=36),0.007868600328511213
4982863.514647296,36,8,baseline local write set (w=36),0.007282559494822646
5383843.622033478,36,8,baseline local write set (w=36),0.006740166050048463
5817091.329374358,36,8,baseline local write set (w=36),0.006238169206104395
6285203.269240097,36,8,baseline local write set (w=36),0.00577356028843079
6790985.029955707,36,8,baseline local write set (w=36),0.005343554703762421
7337467.970651388,36,8,baseline local write set (w=36),0.004945575250910228
7927927.389450606,36,8,baseline local write set (w=36),0.004577236674529471
8565902.153685499,36,8,baseline local write set (w=36),0.004236331369298563
9255215.909791354,36,8,baseline local write set (w=36),0.003920816148828025
10000000.0,36,8,baseline local write set (w=36),0.0036288
1000.0,205,2,cascade stress write set (w=205),1.0
1080.4718223181285,205,2,cascade stress write set (w=205),1.0
