N,degree,coupling,seeds,trial,cascade_size
5000,2,0.7,4,84,3
5000,2,0.7,4,85,8
5000,2,0.7,4,86,4
5000,2,0.7,4,87,7
5000,2,0.7,4,88,2
5000,2,0.7,4,89,10
5000,2,0.7,4,90,6
5000,2,0.7,4,91,8
5000,2,0.7,4,92,4
5000,2,0.7,4,93,13
5000,2,0.7,4,94,7
5000,2,0.7,4,95,7
5000,2,0.7,4,96,10
5000,2,0.7,4,97,7
5000,2,0.7,4,98,9
5000,2,0.7,4,99,9
5000,2,0.7,4,100,12
5000,2,0.7,4,101,1
5000,2,0.7,4,102,8
5000,2,0.7,4,103,6
5000,2,0.7,4,104,4
5000,2,0.7,4,105,7
5000,2,0.7,4,106,10
5000,2,0.7,4,107,6
5000,2,0.7,4,108,5
5000,2,0.7,4,109,6
5000,2,0.7,4,110,8
5000,2,0.7,4,111,14
5000,2,0.7,4,112,7
5000,2,0.7,4,113,6
5000,2,0.7,4,114,6
5000,2,0.7,4,115,11
5000,2,0.7,4,116,5
5000,2,0.7,4,117,5
5000,2,0.7,4,118,11
5000,2,0.7,4,119,6
20000,2,0.7,4,0,5
20000,2,0.7,4,1,7
20000,2,0.7,4,2,5
20000,2,0.7,4,3,5
20000,2,0.7,4,4,7
20000,2,0.7,4,5,10
20000,2,0.7,4,6,6
20000,2,0.7,4,7,6
20000,2,0.7,4,8,12
20000,2,0.7,4,9,12
20000,2,0.7,4,10,5
20000,2,0.7,4,11,4
20000,2,0.7,4,12,9
20000,2,0.7,4,13,6
20000,2,0.7,4,14,8
20000,2,0.7,4,15,6
20000,2,0.7,4,16,6
20000,2,0.7,4,17,14
20000,2,0.7,4,18,9
20000,2,0.7,4,19,4
20000,2,0.7,4,20,11
20000,2,0.7,4,21,4
20000,2,0.7,4,22,6
20000,2,0.7,4,23,5
20000,2,0.7,4,24,11
20000,2,0.7,4,25,7
20000,2,0.7,4,26,6
20000,2,0.7,4,27,5
20000,2,0.7,4,28,9
20000,2,0.7,4,29,5
20000,2,0.7,4,30,4
20000,2,0.7,4,31,5
20000,2,0.7,4,32,7
20000,2,0.7,4,33,9
20000,2,0.7,4,34,7
20000,2,0.7,4,35,7
20000,2,0.7,4,36,11
20000,2,0.7,4,37,7
20000,2,0.7,4,38,8
20000,2,0.7,4,39,11
20000,2,0.7,4,40,6
20000,2,0.7,4,41,13
20000,2,0.7,4,42,8
20000,2,0.7,4,43,8
20000,2,0.7,4,44,14
20000,2,0.7,4,45,11
20000,2,0.7,4,46,11
20000,2,0.7,4,47,4
20000,2,0.7,4,48,7
20000,2,0.7,4,49,10
20000,2,0.7,4,50,7
20000,2,0.7,4,51,9
20000,2,0.7,4,52,10
20000,2,0.7,4,53,9
20000,2,0.7,4,54,10
20000,2,0.7,4,55,6
20000,2,0.7,4,56,11
20000,2,0.7,4,57,11
20000,2,0.7,4,58,9
20000,2,0.7,4,59,7
20000,2,0.7,4,60,9
20000,2,0.7,4,61,5
20000,2,0.7,4,62,9
20000,2,0.7,4,63,5
20000,2,0.7,4,64,14
20000,2,0.7,4,65,5
20000,2,0.7,4,66,11
20000,2,0.7,4,67,10
20000,2,0.7,4,68,12
20000,2,0.7,4,69,9
20000,2,0.7,4,70,5
20000,2,0.7,4,71,11
20000,2,0.7,4,72,8
20000,2,0.7,4,73,13
20000,2,0.7,4,74,9
20000,2,0.7,4,75,10
20000,2,0.7,4,76,12
20000,2,0.7,4,77,10
20000,2,0.7,4,78,5
20000,2,0.7,4,79,7
20000,2,0.7,4,80,5
20000,2,0.7,4,81,5
20000,2,0.7,4,82,3
20000,2,0.7,4,83,8
20000,2,0.7,4,84,3
20000,2,0.7,4,85,10
20000,2,0.7,4,86,9
20000,2,0.7,4,87,17
20000,2,0.7,4,88,5
20000,2,0.7,4,89,20
20000,2,0.7,4,90,5
20000,2,0.7,4,91,12
20000,2,0.7,4,92,11
20000,2,0.7,4,93,4
20000,2,0.7,4,94,9
20000,2,0.7,4,95,11
20000,2,0.7,4,96,13
20000,2,0.7,4,97,5
20000,2,0.7,4,98,5
20000,2,0.7,4,99,8
20000,2,0.7,4,100,4
20000,2,0.7,4,101,11
20000,2,0.7,4,102,13
20000,2,0.7,4,103,8
20000,2,0.7,4,104,10
20000,2,0.7,4,105,9
20000,2,0.7,4,106,10
20000,2,0.7,4,107,3
20000,2,0.7,4,108,10
20000,2,0.7,4,109,8
20000,2,0.7,4,110,3
20000,2,0.7,4,111,6
20000,2,0.7,4,112,6
20000,2,0.7,4,113,6
20000,2,0.7,4,114,7
20000,2,0.7,4,115,5
20000,2,0.7,4,116,8
20000,2,0.7,4,117,7
20000,2,0.7,4,118,8
20000,2,0.7,4,119,5
5000,2,0.85,4,0,17
5000,2,0.85,4,1,9
5000,2,0.85,4,2,11
5000,2,0.85,4,3,11
5000,2,0.85,4,4,10
5000,2,0.85,4,5,7
5000,2,0.85,4,6,8
5000,2,0.85,4,7,4
5000,2,0.85,4,8,8
5000,2,0.85,4,9,8
5000,2,0.85,4,10,14
5000,2,0.85,4,11,9
5000,2,0.85,4,12,7
5000,2,0.85,4,13,8
5000,2,0.85,4,14,9
5000,2,0.85,4,15,9
5000,2,0.85,4,16,3
5000,2,0.85,4,17,11
5000,2,0.85,4,18,12
5000,2,0.85,4,19,11
5000,2,0.85,4,20,9
5000,2,0.85,4,21,14
5000,2,0.85,4,22,5
5000,2,0.85,4,23,4
5000,2,0.85,4,24,9
5000,2,0.85,4,25,8
5000,2,0.85,4,26,7
5000,2,0.85,4,27,12
5000,2,0.85,4,28,7
5000,2,0.85,4,29,6
5000,2,0.85,4,30,4
5000,2,0.85,4,31,11
5000,2,0.85,4,32,10
5000,2,0.85,4,33,4
5000,2,0.85,4,34,6
5000,2,0.85,4,35,9
5000,2,0.85,4,36,24
5000,2,0.85,4,37,16
5000,2,0.85,4,38,14
5000,2,0.85,4,39,10
5000,2,0.85,4,40,9
5000,2,0.85,4,41,13
5000,2,0.85,4,42,8
5000,2,0.85,4,43,13
5000,2,0.85,4,44,9
5000,2,0.85,4,45,7
5000,2,0.85,4,46,12
5000,2,0.85,4,47,16
5000,2,0.85,4,48,11
5000,2,0.85,4,49,13
5000,2,0.85,4,50,16
5000,2,0.85,4,51,15
5000,2,0.85,4,52,4
5000,2,0.85,4,53,8
5000,2,0.85,4,54,7
5000,2,0.85,4,55,12
5000,2,0.85,4,56,12
5000,2,0.85,4,57,16
5000,2,0.85,4,58,8
5000,2,0.85,4,59,9
5000,2,0.85,4,60,8
5000,2,0.85,4,61,10
5000,2,0.85,4,62,8
5000,2,0.85,4,63,5
5000,2,0.85,4,64,9
5000,2,0.85,4,65,5
5000,2,0.85,4,66,13
5000,2,0.85,4,67,12
5000,2,0.85,4,68,11
5000,2,0.85,4,69,10
5000,2,0.85,4,70,17
5000,2,0.85,4,71,12
5000,2,0.85,4,72,8
5000,2,0.85,4,73,7
5000,2,0.85,4,74,14
5000,2,0.85,4,75,15
5000,2,0.85,4,76,9
5000,2,0.85,4,77,8
5000,2,0.85,4,78,13
5000,2,0.85,4,79,11
5000,2,0.85,4,80,10
5000,2,0.85,4,81,3
5000,2,0.85,4,82,11
5000,2,0.85,4,83,12
5000,2,0.85,4,84,15
5000,2,0.85,4,85,18
5000,2,0.85,4,86,5
5000,2,0.85,4,87,10
5000,2,0.85,4,88,8
5000,2,0.85,4,89,4
5000,2,0.85,4,90,6
5000,2,0.85,4,91,13
5000,2,0.85,4,92,8
5000,2,0.85,4,93,7
5000,2,0.85,4,94,7
5000,2,0.85,4,95,7
5000,2,0.85,4,96,12
5000,2,0.85,4,97,8
5000,2,0.85,4,98,13
5000,2,0.85,4,99,13
5000,2,0.85,4,100,9
5000,2,0.85,4,101,13
5000,2,0.85,4,102,6
5000,2,0.85,4,103,13
5000,2,0.85,4,104,6
5000,2,0.85,4,105,11
5000,2,0.85,4,106,8
5000,2,0.85,4,107,9
5000,2,0.85,4,108,9
5000,2,0.85,4,109,5
5000,2,0.85,4,110,13
5000,2,0.85,4,111,12
5000,2,0.85,4,112,6
5000,2,0.85,4,113,12
5000,2,0.85,4,114,6
5000,2,0.85,4,115,11
5000,2,0.85,4,116,12
5000,2,0.85,4,117,10
5000,2,0.85,4,118,4
5000,2,0.85,4,119,8
20000,2,0.85,4,0,12
20000,2,0.85,4,1,3
20000,2,0.85,4,2,3
20000,2,0.85,4,3,8
20000,2,0.85,4,4,6
20000,2,0.85,4,5,8
20000,2,0.85,4,6,2
20000,2,0.85,4,7,10
20000,2,0.85,4,8,4
20000,2,0.85,4,9,9
20000,2,0.85,4,10,12
20000,2,0.85,4,11,10
20000,2,0.85,4,12,5
20000,2,0.85,4,13,4
20000,2,0.85,4,14,3
20000,2,0.85,4,15,11
20000,2,0.85,4,16,9
20000,2,0.85,4,17,7
20000,2,0.85,4,18,8
20000,2,0.85,4,19,9
20000,2,0.85,4,20,7
20000,2,0.85,4,21,9
20000,2,0.85,4,22,16
20000,2,0.85,4,23,8
20000,2,0.85,4,24,15
20000,2,0.85,4,25,11
20000,2,0.85,4,26,5
20000,2,0.85,4,27,4
20000,2,0.85,4,28,13
20000,2,0.85,4,29,10
20000,2,0.85,4,30,16
20000,2,0.85,4,31,12
20000,2,0.85,4,32,5
20000,2,0.85,4,33,9
20000,2,0.85,4,34,9
20000,2,0.85,4,35,13
20000,2,0.85,4,36,9
20000,2,0.85,4,37,14
20000,2,0.85,4,38,8
20000,2,0.85,4,39,3
20000,2,0.85,4,40,12
20000,2,0.85,4,41,10
20000,2,0.85,4,42,11
20000,2,0.85,4,43,16
20000,2,0.85,4,44,9
20000,2,0.85,4,45,11
20000,2,0.85,4,46,14
20000,2,0.85,4,47,9
20000,2,0.85,4,48,9
20000,2,0.85,4,49,6
20000,2,0.85,4,50,11
