candidates,trial,method,exact_value,greedy_value,relative_regret,greedy_ms,exact_ms
8,23,ratio,2.6251759153831316,2.5761776690806237,0.0186647477661918,0.21789999982502195,1.9382740001674392
8,23,price,2.6251759153831316,2.5761776690806237,0.0186647477661918,0.18260599972563796,1.9382740001674392
8,24,raw,3.198583011385072,3.0088447859430207,0.059319462639142104,0.18490000002202578,1.8905329998233356
8,24,ratio,3.198583011385072,3.198583011385072,0.0,0.25412700006199884,1.8905329998233356
8,24,price,3.198583011385072,3.198583011385072,0.0,0.19553700030883192,1.8905329998233356
8,25,raw,2.0961158304910117,2.0961158304910117,0.0,0.17225100009454763,1.5196009999272064
8,25,ratio,2.0961158304910117,1.6147827171404696,0.22963097093627244,0.15900200014584698,1.5196009999272064
8,25,price,2.0961158304910117,2.0961158304910117,0.0,0.18078799985232763,1.5196009999272064
8,26,raw,1.9372125185394145,1.9372125185394142,1.146206741903798e-16,0.17983799989451654,1.5326889997595572
8,26,ratio,1.9372125185394145,1.9372125185394142,1.146206741903798e-16,0.2002010000978771,1.5326889997595572
8,26,price,1.9372125185394145,1.9372125185394142,1.146206741903798e-16,0.16626300021016505,1.5326889997595572
8,27,raw,2.148176306528101,2.1481763065281005,2.067284740551873e-16,0.15145699990171124,1.661216000229615
8,27,ratio,2.148176306528101,2.0439542617981576,0.04851652278875927,0.21810099997310317,1.661216000229615
8,27,price,2.148176306528101,2.1481763065281005,2.067284740551873e-16,0.1574119996803347,1.661216000229615
8,28,raw,2.683131037744534,2.5719366663654886,0.041442020465954056,0.14637799995398382,1.6784849999567086
8,28,ratio,2.683131037744534,2.5719366663654886,0.041442020465954056,0.17924799976754002,1.6784849999567086
8,28,price,2.683131037744534,2.5719366663654886,0.041442020465954056,0.1741450000736222,1.6784849999567086
8,29,raw,3.4651392889287362,3.465139288928736,1.2815912228086936e-16,0.22263500022745575,2.592353999716579
8,29,ratio,3.4651392889287362,3.465139288928736,1.2815912228086936e-16,0.325728000007075,2.592353999716579
8,29,price,3.4651392889287362,3.465139288928736,1.2815912228086936e-16,0.24010200013435679,2.592353999716579
8,30,raw,2.8126068063756224,1.8864234910365756,0.32929711797595485,0.12667999999393942,1.7843569999058673
8,30,ratio,2.8126068063756224,2.812606806375623,-1.5789238966619876e-16,0.2245079999738664,1.7843569999058673
8,30,price,2.8126068063756224,1.8864234910365756,0.32929711797595485,0.13314899979377515,1.7843569999058673
8,31,raw,3.1520146605254724,2.8666095740601265,0.09054687785550021,0.1674219997767068,2.2546740001416765
8,31,ratio,3.1520146605254724,2.7337534893112223,0.13269645489038487,0.20880200008832617,2.2546740001416765
8,31,price,3.1520146605254724,2.8666095740601265,0.09054687785550021,0.16206800000873045,2.2546740001416765
8,32,raw,1.678258749527918,1.4072111488244254,0.1615052510703348,0.1941880000231322,1.9052450002163823
8,32,ratio,1.678258749527918,1.4072111488244252,0.16150525107033495,0.23147699994297,1.9052450002163823
8,32,price,1.678258749527918,1.4072111488244252,0.16150525107033495,0.22613900000578724,1.9052450002163823
8,33,raw,2.3185525722740223,2.2691009510276334,0.02132866075056778,0.17772000001059496,1.660509999965143
8,33,ratio,2.3185525722740223,2.3074735574581755,0.004778418634251887,0.2095219997499953,1.660509999965143
8,33,price,2.3185525722740223,2.2691009510276334,0.02132866075056778,0.18026899988399236,1.660509999965143
8,34,raw,3.0249092334126093,2.9422436622170083,0.027328281550564174,0.15358900009232457,1.6511280000486295
8,34,ratio,3.0249092334126093,3.0249092334126098,-1.4681075549134904e-16,0.22286200010057655,1.6511280000486295
8,34,price,3.0249092334126093,2.942243662217008,0.02732828155056432,0.15994000023056287,1.6511280000486295
8,35,raw,1.9717150831674053,1.7580493687601089,0.1083654105156305,0.131108999994467,1.5868789996602573
8,35,ratio,1.9717150831674053,1.971715083167405,1.1261495477750978e-16,0.20123100011915085,1.5868789996602573
8,35,price,1.9717150831674053,1.7580493687601089,0.1083654105156305,0.1301219999731984,1.5868789996602573
8,36,raw,2.1624180333904954,2.162418033390496,-2.0536695633904184e-16,0.1784249998308951,1.7879399997582368
8,36,ratio,2.1624180333904954,2.162418033390496,-2.0536695633904184e-16,0.21931899982519099,1.7879399997582368
8,36,price,2.1624180333904954,2.162418033390496,-2.0536695633904184e-16,0.2092300001095282,1.7879399997582368
8,37,raw,2.040705661352147,1.9925491735171594,0.02359795866057405,0.16806899975563283,1.650363000408106
8,37,ratio,2.040705661352147,1.7925291165095738,0.12161310155729868,0.20366699982332648,1.650363000408106
8,37,price,2.040705661352147,1.9925491735171594,0.02359795866057405,0.3695469999911438,1.650363000408106
8,38,raw,2.181683607951687,1.6796415053671492,0.23011682388533367,0.141056000302342,1.791337999748066
8,38,ratio,2.181683607951687,2.10347719833834,0.035846815426537726,0.2131719998033077,1.791337999748066
8,38,price,2.181683607951687,1.6796415053671492,0.23011682388533367,0.14347700016514864,1.791337999748066
8,39,raw,3.1534905236029087,3.153490523602909,-1.4082465335671415e-16,0.17287499986196053,1.805828000215115
8,39,ratio,3.1534905236029087,3.0339069896971758,0.037921006266131735,0.2543089999562653,1.805828000215115
8,39,price,3.1534905236029087,3.0339069896971758,0.037921006266131735,0.18425899997964734,1.805828000215115
8,40,raw,2.4077883690632262,1.9174576870566375,0.20364359605132434,0.14503400007015443,1.6451479996248963
8,40,ratio,2.4077883690632262,2.4077883690632267,-1.8443863902492389e-16,0.22216799970919965,1.6451479996248963
8,40,price,2.4077883690632262,1.9174576870566375,0.20364359605132434,0.14983000028223614,1.6451479996248963
8,41,raw,2.2844312944355685,1.9071515900530283,0.1651525722404173,0.1644650001253467,1.6714710000087507
8,41,ratio,2.2844312944355685,2.284431294435569,-1.9439814667737122e-16,0.2365029999964463,1.6714710000087507
8,41,price,2.2844312944355685,1.9071515900530283,0.1651525722404173,0.1676319998296094,1.6714710000087507
8,42,raw,2.2271493485663134,1.7846460111083766,0.19868597395266294,0.18231300009574625,2.131090000148106
8,42,ratio,2.2271493485663134,2.145441445865567,0.03668721307502091,0.2350269996895804,2.131090000148106
8,42,price,2.2271493485663134,1.7846460111083766,0.19868597395266294,0.1892039999802364,2.131090000148106
8,43,raw,2.6700988663401404,2.6700988663401404,0.0,0.1944079999702808,2.0352269998511474
8,43,ratio,2.6700988663401404,2.4924664807852897,0.06652651997052396,0.20587200015143026,2.0352269998511474
8,43,price,2.6700988663401404,2.6700988663401404,0.0,0.19333499994900194,2.0352269998511474
8,44,raw,2.57731758137303,2.2375574568826213,0.13182703092003362,0.15930800009300583,1.5772159999869473
8,44,ratio,2.57731758137303,2.57731758137303,0.0,0.25300300012531807,1.5772159999869473
8,44,price,2.57731758137303,2.57731758137303,0.0,0.19358000008651288,1.5772159999869473
8,45,raw,2.8778475726546073,2.8778475726546078,-1.5431297128792066e-16,0.17574000003151014,1.9991869999103073
8,45,ratio,2.8778475726546073,2.8778475726546078,-1.5431297128792066e-16,0.19987299992862972,1.9991869999103073
8,45,price,2.8778475726546073,2.8778475726546078,-1.5431297128792066e-16,0.17056900014722487,1.9991869999103073
8,46,raw,2.0509244942218032,1.7685142421257378,0.13769900008104508,0.1720529999147402,1.7420670001229155
8,46,ratio,2.0509244942218032,2.0509244942218032,0.0,0.20926099978169077,1.7420670001229155
8,46,price,2.0509244942218032,1.7685142421257378,0.13769900008104508,0.1384739998684381,1.7420670001229155
8,47,raw,2.6678119170402947,2.6678119170402947,0.0,0.22213800002646167,2.0753980002155004
8,47,ratio,2.6678119170402947,2.6678119170402947,0.0,0.4015380000055302,2.0753980002155004
8,47,price,2.6678119170402947,2.6678119170402947,0.0,0.23367299991150503,2.0753980002155004
8,48,raw,3.0288037327843447,3.0288037327843442,1.4662198314243904e-16,0.22000699982527294,1.848413000061555
8,48,ratio,3.0288037327843447,3.0288037327843442,1.4662198314243904e-16,0.26742900035969797,1.848413000061555
8,48,price,3.0288037327843447,3.0288037327843442,1.4662198314243904e-16,0.22513400017487584,1.848413000061555
8,49,raw,1.5154731912330133,1.2299516197462599,0.1884042377908701,0.18557800012786174,1.7906250000123691
8,49,ratio,1.5154731912330133,1.2117378369655443,0.20042278281435322,0.24561999998695683,1.7906250000123691
8,49,price,1.5154731912330133,1.211737836965544,0.20042278281435336,0.19251899993832922,1.7906250000123691
10,0,raw,3.9219570088562317,2.7717196141286484,0.2932814898608563,0.21495200007848325,4.808727000181534
10,0,ratio,3.9219570088562317,3.921957008856232,-1.1323153437104434e-16,0.2996230000462674,4.808727000181534
10,0,price,3.9219570088562317,3.921957008856231,1.1323153437104434e-16,0.2700449999792909,4.808727000181534
10,1,raw,2.5514715438922053,2.4087662323020886,0.055930591086437643,0.19135499996991712,4.519832999903883
10,1,ratio,2.5514715438922053,2.3383556208284424,0.08352667054975654,0.2548799998294271,4.519832999903883
10,1,price,2.5514715438922053,2.338355620828442,0.08352667054975672,0.17426199974579504,4.519832999903883
10,2,raw,2.3792495938380007,2.2238881990014603,0.06529848538753968,0.23290900026040617,4.783685999882437
10,2,ratio,2.3792495938380007,2.3792495938380007,0.0,0.24788200016701012,4.783685999882437
10,2,price,2.3792495938380007,2.2238881990014603,0.06529848538753968,0.23073800002748612,4.783685999882437
10,3,raw,2.869957037410785,2.1707694921453764,0.24362300067606618,0.2115500001309556,4.400824000185821
10,3,ratio,2.869957037410785,2.8699570374107846,1.547372326697652e-16,0.2938319998975203,4.400824000185821
10,3,price,2.869957037410785,2.8699570374107846,1.547372326697652e-16,0.2536030001465406,4.400824000185821
10,4,raw,2.83045957306251,2.7605555768047303,0.024697048112983615,0.2820509998855414,4.704467999999906
10,4,ratio,2.83045957306251,2.7605555768047303,0.024697048112983615,0.3143250000903208,4.704467999999906
10,4,price,2.83045957306251,2.7605555768047303,0.024697048112983615,0.27073699993707123,4.704467999999906
10,5,raw,2.4001677519363933,2.4001677519363933,0.0,0.20709000000351807,4.462641999907646
10,5,ratio,2.4001677519363933,2.4001677519363933,0.0,0.271418000011181,4.462641999907646
10,5,price,2.4001677519363933,2.4001677519363933,0.0,0.21197200021561002,4.462641999907646
10,6,raw,3.1444371795159753,2.828017235299134,0.10062848330318624,0.28732200007652864,5.119012000250223
10,6,ratio,3.1444371795159753,3.1444371795159753,0.0,0.3313080001134949,5.119012000250223
10,6,price,3.1444371795159753,2.828017235299134,0.10062848330318624,0.3213089999007934,5.119012000250223
10,7,raw,3.0040806049814206,2.705227251257316,0.09948246835605558,0.17223200029548025,4.272095000033005
10,7,ratio,3.0040806049814206,2.3463271081671913,0.21895334490144194,0.264779000190174,4.272095000033005
10,7,price,3.0040806049814206,2.705227251257316,0.09948246835605558,0.1947770001606841,4.272095000033005
10,8,raw,2.213153841459385,2.213153841459385,0.0,0.19885099982275278,4.165465999903972
